Release Date,Time,Actual,Forecast,Previous
8-Jan-20,3:00,-5.945M,-,-7.800M
25-Dec-19,3:00,-7.900M,-,4.700M
18-Dec-19,3:00,4.700M,-,1.410M
11-Dec-19,3:00,1.410M,-,-3.720M
4-Dec-19,3:00,-3.720M,-,3.639M
27-Nov-19,3:00,3.639M,-,5.954M
20-Nov-19,3:00,5.954M,-,-0.500M
14-Nov-19,3:00,-0.500M,-,4.260M
6-Nov-19,3:00,4.260M,-,-0.708M
30-Oct-19,2:00,-0.708M,-,4.450M
23-Oct-19,2:00,4.450M,-,10.500M
17-Oct-19,2:00,10.500M,-,4.100M
9-Oct-19,2:00,4.100M,-,-5.920M
2-Oct-19,2:00,-5.920M,-,1.400M
25-Sep-19,2:00,1.400M,-,0.592M
18-Sep-19,2:00,0.592M,-,-7.200M
11-Sep-19,2:00,-7.200M,-,0.401M
5-Sep-19,2:00,0.401M,-,-11.100M
28-Aug-19,2:00,-11.100M,-,-3.500M
21-Aug-19,2:00,-3.500M,-,3.700M
14-Aug-19,2:00,-2.190M,-,-3.400M
7-Aug-19,2:00,-3.400M,-,-6.024M
31-Jul-19,2:00,-6.024M,-,-10.961M
24-Jul-19,2:00,-10.961M,-,-1.401M
17-Jul-19,2:00,-1.401M,-,-8.129M
10-Jul-19,2:00,-8.129M,-,-5.000M
3-Jul-19,2:00,-5.000M,-,-7.550M
26-Jun-19,2:00,-7.550M,-,-0.812M
19-Jun-19,2:00,-0.812M,-,4.850M
12-Jun-19,2:00,4.850M,-,3.545M
5-Jun-19,2:00,3.545M,-,-5.265M
31-May-19,2:00,-5.265M,-,2.400M
22-May-19,2:00,2.400M,-0.600M,8.600M
15-May-19,2:00,8.600M,-,2.806M
8-May-19,2:00,2.806M,-,6.810M
1-May-19,2:00,6.810M,-,6.900M
24-Apr-19,2:00,6.900M,-,-3.096M
17-Apr-19,2:00,-3.096M,-,4.091M
10-Apr-19,2:00,4.091M,-,2.963M
3-Apr-19,2:00,2.963M,-,1.930M
27-Mar-19,2:00,1.930M,-,-2.133M
20-Mar-19,2:00,-2.133M,-,-2.580M
13-Mar-19,2:00,-2.580M,-,7.290M
6-Mar-19,3:00,7.290M,-,-4.200M
27-Feb-19,3:00,-4.200M,-,1.260M
21-Feb-19,3:00,1.260M,-,-0.998M
13-Feb-19,3:00,-0.998M,-,2.514M
6-Feb-19,3:00,2.514M,-,2.098M
30-Jan-19,3:00,2.098M,-,6.550M
24-Jan-19,3:00,6.550M,-,-0.560M
16-Jan-19,3:00,-0.560M,-,-6.270M
9-Jan-19,3:00,-6.270M,-,-4.500M
4-Jan-19,3:00,-4.500M,-,6.920M
28-Dec-18,3:00,6.920M,-,3.450M
19-Dec-18,3:00,3.450M,-,-10.180M
12-Dec-18,3:00,-10.180M,-,5.360M
5-Dec-18,3:00,5.360M,-,3.453M
28-Nov-18,3:00,3.453M,-,-1.545M
21-Nov-18,3:00,-1.545M,-,8.790M
15-Nov-18,3:00,8.790M,-,7.830M
7-Nov-18,3:00,7.830M,-,5.700M
31-Oct-18,2:00,5.700M,-,9.880M
24-Oct-18,2:00,9.880M,-,-2.100M
17-Oct-18,2:00,-2.100M,-,9.750M
11-Oct-18,2:00,9.750M,-,0.907M
3-Oct-18,2:00,0.907M,-,2.903M
26-Sep-18,2:00,2.903M,-,1.250M
19-Sep-18,2:00,1.250M,-,-8.636M
12-Sep-18,2:00,-8.636M,-,-1.200M
6-Sep-18,2:00,-1.200M,-,0.038M
29-Aug-18,2:00,0.038M,-,-5.170M
22-Aug-18,2:00,-5.170M,-,3.660M
15-Aug-18,2:00,3.660M,-,-6.000M
8-Aug-18,2:00,-6.000M,-,5.590M
1-Aug-18,2:00,5.590M,-,-3.160M
25-Jul-18,2:00,-3.160M,-3.000M,0.629M
18-Jul-18,2:00,0.629M,-,-6.796M
11-Jul-18,2:00,-6.796M,-,-4.500M
4-Jul-18,2:00,-4.500M,-,-9.228M
